[INFO ] 2016-12-14 20:19:56,632 -- WorkingPath: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/
[INFO ] 2016-12-14 20:19:56,638 -- Your original rating data path: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/Data_InCarMusic.csv
[INFO ] 2016-12-14 20:19:56,638 -- Current working path: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/
[WARN ] 2016-12-14 20:19:56,639 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2016-12-14 20:19:56,757 -- Data transformaton completed (from Compact to Binary format). See new rating file: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2016-12-14 20:19:56,767 -- Dataset: ...ARSKit.Workspace/ratings_binary.txt
[INFO ] 2016-12-14 20:19:56,768 -- DataPath: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2016-12-14 20:19:56,888 -- Rating data set has been successfully loaded.
[INFO ] 2016-12-14 20:19:56,897 -- 
/***************************************************************************************************************************************************
 *
 * Dataset: /home/kpour2001/IdeaProjects/CARSKit/context-aware_data_sets/Music_InCarMusic/CARSKit.Workspace/ratings_binary.txt
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 42
 * Item amount: 139
 * Rate amount: 3938
 * Context dimensions: 8 (drivingstyle, landscape, mood, naturalphenomena, roadtype, sleepiness, trafficconditions, weather)
 * Context conditions: 34 (drivingstyle: 3, landscape: 5, mood: 5, naturalphenomena: 5, roadtype: 4, sleepiness: 3, trafficconditions: 4, weather: 5)
 * Context situations: 27
 * Data density: 0.0007%
 * Scale distribution: [2.0 x 705, 4.0 x 513, 0.0 x 122, 1.0 x 1452, 5.0 x 494, 3.0 x 652]
 * Average value of all ratings: 2.447647
 * Standard deviation of all ratings: 1.474440
 * Mode of all rating values: 1.000000
 * Median of all rating values: 2.000000
 *
 ***************************************************************************************************************************************************/
[INFO ] 2016-12-14 20:19:56,898 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2016-12-14 20:19:56,915 -- Fold [1]: training amount: 3029, test amount: 753
[DEBUG] 2016-12-14 20:19:56,924 -- Fold [2]: training amount: 3025, test amount: 757
[DEBUG] 2016-12-14 20:19:56,930 -- Fold [3]: training amount: 3023, test amount: 759
[DEBUG] 2016-12-14 20:19:56,937 -- Fold [4]: training amount: 3025, test amount: 757
[DEBUG] 2016-12-14 20:19:56,945 -- Fold [5]: training amount: 3026, test amount: 756
[DEBUG] 2016-12-14 20:19:57,457 -- SVD++ fold [4] iter 5: loss = 462.1272, delta_loss = 49.945225, learn_rate = 0.0231525
[DEBUG] 2016-12-14 20:19:57,458 -- SVD++ fold [1] iter 5: loss = 435.3705, delta_loss = 53.459602, learn_rate = 0.0231525
[DEBUG] 2016-12-14 20:19:57,460 -- SVD++ fold [3] iter 5: loss = 460.60098, delta_loss = 46.870068, learn_rate = 0.0231525
[DEBUG] 2016-12-14 20:19:57,461 -- SVD++ fold [5] iter 4: loss = 511.87534, delta_loss = 55.577335, learn_rate = 0.022049999
[DEBUG] 2016-12-14 20:19:57,461 -- SVD++ fold [4] iter 6: loss = 414.38513, delta_loss = 47.74206, learn_rate = 0.024310125
[DEBUG] 2016-12-14 20:19:57,463 -- SVD++ fold [2] iter 5: loss = 441.06168, delta_loss = 45.41078, learn_rate = 0.0231525
[DEBUG] 2016-12-14 20:19:57,465 -- SVD++ fold [1] iter 6: loss = 389.66107, delta_loss = 45.709415, learn_rate = 0.024310125
[DEBUG] 2016-12-14 20:19:57,467 -- SVD++ fold [4] iter 7: loss = 368.5794, delta_loss = 45.80572, learn_rate = 0.025525631
[DEBUG] 2016-12-14 20:19:57,468 -- SVD++ fold [5] iter 5: loss = 457.58902, delta_loss = 54.286297, learn_rate = 0.0231525
[DEBUG] 2016-12-14 20:19:57,468 -- SVD++ fold [3] iter 6: loss = 416.42184, delta_loss = 44.179142, learn_rate = 0.024310125
[DEBUG] 2016-12-14 20:19:57,470 -- SVD++ fold [2] iter 6: loss = 399.05402, delta_loss = 42.00767, learn_rate = 0.024310125
[DEBUG] 2016-12-14 20:19:57,471 -- SVD++ fold [4] iter 8: loss = 323.1717, delta_loss = 45.407703, learn_rate = 0.026801912
[DEBUG] 2016-12-14 20:19:57,472 -- SVD++ fold [1] iter 7: loss = 346.39914, delta_loss = 43.26194, learn_rate = 0.025525631
[DEBUG] 2016-12-14 20:19:57,474 -- SVD++ fold [5] iter 6: loss = 407.2217, delta_loss = 50.367325, learn_rate = 0.024310125
[DEBUG] 2016-12-14 20:19:57,475 -- SVD++ fold [4] iter 9: loss = 279.9098, delta_loss = 43.2619, learn_rate = 0.028142007
[DEBUG] 2016-12-14 20:19:57,475 -- SVD++ fold [3] iter 7: loss = 371.79962, delta_loss = 44.622234, learn_rate = 0.025525631
[DEBUG] 2016-12-14 20:19:57,477 -- SVD++ fold [2] iter 7: loss = 352.5912, delta_loss = 46.462837, learn_rate = 0.025525631
[DEBUG] 2016-12-14 20:19:57,479 -- SVD++ fold [4] iter 10: loss = 239.72246, delta_loss = 40.18735, learn_rate = 0.029549109
[DEBUG] 2016-12-14 20:19:57,479 -- SVD++ fold [1] iter 8: loss = 305.25827, delta_loss = 41.140884, learn_rate = 0.026801912
[DEBUG] 2016-12-14 20:19:57,481 -- SVD++ fold [5] iter 7: loss = 355.53033, delta_loss = 51.691383, learn_rate = 0.025525631
[DEBUG] 2016-12-14 20:19:57,482 -- SVD++ fold [3] iter 8: loss = 322.84558, delta_loss = 48.954018, learn_rate = 0.026801912
[DEBUG] 2016-12-14 20:19:57,483 -- SVD++ fold [4] iter 11: loss = 202.432, delta_loss = 37.29044, learn_rate = 0.031026565
[DEBUG] 2016-12-14 20:19:57,484 -- SVD++ fold [2] iter 8: loss = 302.0572, delta_loss = 50.533997, learn_rate = 0.026801912
[DEBUG] 2016-12-14 20:19:57,486 -- SVD++ fold [1] iter 9: loss = 267.0069, delta_loss = 38.251358, learn_rate = 0.028142007
[DEBUG] 2016-12-14 20:19:57,486 -- SVD++ fold [4] iter 12: loss = 168.31184, delta_loss = 34.120174, learn_rate = 0.03257789
[DEBUG] 2016-12-14 20:19:57,488 -- SVD++ fold [5] iter 8: loss = 300.58252, delta_loss = 54.947815, learn_rate = 0.026801912
[DEBUG] 2016-12-14 20:19:57,489 -- SVD++ fold [3] iter 9: loss = 271.3279, delta_loss = 51.517666, learn_rate = 0.028142007
[DEBUG] 2016-12-14 20:19:57,490 -- SVD++ fold [4] iter 13: loss = 137.55438, delta_loss = 30.757458, learn_rate = 0.034206785
[DEBUG] 2016-12-14 20:19:57,491 -- SVD++ fold [2] iter 9: loss = 251.96913, delta_loss = 50.08805, learn_rate = 0.028142007
[DEBUG] 2016-12-14 20:19:57,492 -- SVD++ fold [1] iter 10: loss = 230.95674, delta_loss = 36.050163, learn_rate = 0.029549109
[DEBUG] 2016-12-14 20:19:57,494 -- SVD++ fold [4] iter 14: loss = 110.01275, delta_loss = 27.541632, learn_rate = 0.035917126
[DEBUG] 2016-12-14 20:19:57,495 -- SVD++ fold [5] iter 9: loss = 247.14774, delta_loss = 53.434772, learn_rate = 0.028142007
[DEBUG] 2016-12-14 20:19:57,496 -- SVD++ fold [3] iter 10: loss = 221.2496, delta_loss = 50.07832, learn_rate = 0.029549109
[DEBUG] 2016-12-14 20:19:57,497 -- SVD++ fold [2] iter 10: loss = 206.26624, delta_loss = 45.702892, learn_rate = 0.029549109
[DEBUG] 2016-12-14 20:19:57,498 -- SVD++ fold [4] iter 15: loss = 85.81837, delta_loss = 24.194376, learn_rate = 0.037712984
[DEBUG] 2016-12-14 20:19:57,499 -- SVD++ fold [1] iter 11: loss = 196.47414, delta_loss = 34.48261, learn_rate = 0.031026565
[DEBUG] 2016-12-14 20:19:57,501 -- SVD++ fold [4] iter 16: loss = 65.516205, delta_loss = 20.302164, learn_rate = 0.039598633
[DEBUG] 2016-12-14 20:19:57,501 -- SVD++ fold [5] iter 10: loss = 199.8788, delta_loss = 47.26894, learn_rate = 0.029549109
[DEBUG] 2016-12-14 20:19:57,503 -- SVD++ fold [3] iter 11: loss = 175.73213, delta_loss = 45.517475, learn_rate = 0.031026565
[DEBUG] 2016-12-14 20:19:57,504 -- SVD++ fold [2] iter 11: loss = 166.78024, delta_loss = 39.485985, learn_rate = 0.031026565
[DEBUG] 2016-12-14 20:19:57,506 -- SVD++ fold [1] iter 12: loss = 163.94511, delta_loss = 32.529007, learn_rate = 0.03257789
[DEBUG] 2016-12-14 20:19:57,507 -- SVD++ fold [4] iter 17: loss = 49.515858, delta_loss = 16.000347, learn_rate = 0.04157856
[DEBUG] 2016-12-14 20:19:57,508 -- SVD++ fold [5] iter 11: loss = 160.69318, delta_loss = 39.185627, learn_rate = 0.031026565
[DEBUG] 2016-12-14 20:19:57,510 -- SVD++ fold [3] iter 12: loss = 137.26163, delta_loss = 38.47051, learn_rate = 0.03257789
[DEBUG] 2016-12-14 20:19:57,511 -- SVD++ fold [2] iter 12: loss = 133.89787, delta_loss = 32.88238, learn_rate = 0.03257789
[DEBUG] 2016-12-14 20:19:57,512 -- SVD++ fold [4] iter 18: loss = 37.575916, delta_loss = 11.939943, learn_rate = 0.04365749
[DEBUG] 2016-12-14 20:19:57,513 -- SVD++ fold [1] iter 13: loss = 134.371, delta_loss = 29.574118, learn_rate = 0.034206785
[DEBUG] 2016-12-14 20:19:57,515 -- SVD++ fold [5] iter 12: loss = 129.55142, delta_loss = 31.14175, learn_rate = 0.03257789
[DEBUG] 2016-12-14 20:19:57,515 -- SVD++ fold [4] iter 19: loss = 28.894588, delta_loss = 8.681327, learn_rate = 0.045840364
[DEBUG] 2016-12-14 20:19:57,517 -- SVD++ fold [3] iter 13: loss = 107.270485, delta_loss = 29.991144, learn_rate = 0.034206785
[DEBUG] 2016-12-14 20:19:57,518 -- SVD++ fold [2] iter 13: loss = 106.82871, delta_loss = 27.06915, learn_rate = 0.034206785
[DEBUG] 2016-12-14 20:19:57,519 -- SVD++ fold [4] iter 20: loss = 22.55703, delta_loss = 6.3375583, learn_rate = 0.048132382
[DEBUG] 2016-12-14 20:19:57,520 -- SVD++ fold [1] iter 14: loss = 108.5646, delta_loss = 25.806406, learn_rate = 0.035917126
[DEBUG] 2016-12-14 20:19:57,522 -- SVD++ fold [5] iter 13: loss = 105.266624, delta_loss = 24.2848, learn_rate = 0.034206785
[DEBUG] 2016-12-14 20:19:57,523 -- SVD++ fold [3] iter 14: loss = 84.94131, delta_loss = 22.329172, learn_rate = 0.035917126
[DEBUG] 2016-12-14 20:19:57,525 -- SVD++ fold [2] iter 14: loss = 84.4013, delta_loss = 22.427414, learn_rate = 0.035917126
[DEBUG] 2016-12-14 20:19:57,525 -- SVD++ fold [4] iter 21: loss = 17.83746, delta_loss = 4.7195706, learn_rate = 0.050539
[DEBUG] 2016-12-14 20:19:57,527 -- SVD++ fold [1] iter 15: loss = 86.7431, delta_loss = 21.821493, learn_rate = 0.037712984
[DEBUG] 2016-12-14 20:19:57,528 -- SVD++ fold [5] iter 14: loss = 86.248344, delta_loss = 19.018278, learn_rate = 0.035917126
[DEBUG] 2016-12-14 20:19:57,530 -- SVD++ fold [3] iter 15: loss = 67.97578, delta_loss = 16.965536, learn_rate = 0.037712984
[DEBUG] 2016-12-14 20:19:57,532 -- SVD++ fold [2] iter 15: loss = 66.10307, delta_loss = 18.298225, learn_rate = 0.037712984
[DEBUG] 2016-12-14 20:19:57,532 -- SVD++ fold [4] iter 22: loss = 14.248732, delta_loss = 3.5887277, learn_rate = 0.053065952
[DEBUG] 2016-12-14 20:19:57,534 -- SVD++ fold [1] iter 16: loss = 68.68792, delta_loss = 18.055183, learn_rate = 0.039598633
[DEBUG] 2016-12-14 20:19:57,535 -- SVD++ fold [5] iter 15: loss = 71.07751, delta_loss = 15.170835, learn_rate = 0.037712984
[DEBUG] 2016-12-14 20:19:57,537 -- SVD++ fold [3] iter 16: loss = 54.37151, delta_loss = 13.604264, learn_rate = 0.039598633
[DEBUG] 2016-12-14 20:19:57,539 -- SVD++ fold [2] iter 16: loss = 51.733707, delta_loss = 14.369367, learn_rate = 0.039598633
[DEBUG] 2016-12-14 20:19:57,539 -- SVD++ fold [4] iter 23: loss = 11.476176, delta_loss = 2.7725556, learn_rate = 0.05571925
[DEBUG] 2016-12-14 20:19:57,540 -- SVD++ fold [1] iter 17: loss = 54.044556, delta_loss = 14.643364, learn_rate = 0.04157856
[DEBUG] 2016-12-14 20:19:57,542 -- SVD++ fold [5] iter 16: loss = 58.704556, delta_loss = 12.372954, learn_rate = 0.039598633
[DEBUG] 2016-12-14 20:19:57,543 -- SVD++ fold [3] iter 17: loss = 43.090496, delta_loss = 11.281012, learn_rate = 0.04157856
[DEBUG] 2016-12-14 20:19:57,545 -- SVD++ fold [4] iter 24: loss = 9.3087635, delta_loss = 2.1674125, learn_rate = 0.058505215
[DEBUG] 2016-12-14 20:19:57,545 -- SVD++ fold [2] iter 17: loss = 40.752583, delta_loss = 10.981125, learn_rate = 0.04157856
[DEBUG] 2016-12-14 20:19:57,547 -- SVD++ fold [1] iter 18: loss = 42.361454, delta_loss = 11.683104, learn_rate = 0.04365749
[DEBUG] 2016-12-14 20:19:57,549 -- SVD++ fold [5] iter 17: loss = 48.429634, delta_loss = 10.274921, learn_rate = 0.04157856
[DEBUG] 2016-12-14 20:19:57,550 -- SVD++ fold [3] iter 18: loss = 33.742886, delta_loss = 9.347611, learn_rate = 0.04365749
[DEBUG] 2016-12-14 20:19:57,552 -- SVD++ fold [4] iter 25: loss = 7.598266, delta_loss = 1.7104979, learn_rate = 0.061430473
[DEBUG] 2016-12-14 20:19:57,552 -- SVD++ fold [2] iter 18: loss = 32.359894, delta_loss = 8.392689, learn_rate = 0.04365749
[DEBUG] 2016-12-14 20:19:57,554 -- SVD++ fold [1] iter 19: loss = 33.1239, delta_loss = 9.237552, learn_rate = 0.045840364
[DEBUG] 2016-12-14 20:19:57,555 -- SVD++ fold [5] iter 18: loss = 39.785267, delta_loss = 8.644364, learn_rate = 0.04365749
[DEBUG] 2016-12-14 20:19:57,557 -- SVD++ fold [3] iter 19: loss = 26.163237, delta_loss = 7.5796485, learn_rate = 0.045840364
[DEBUG] 2016-12-14 20:19:57,558 -- SVD++ fold [4] iter 26: loss = 6.238298, delta_loss = 1.3599681, learn_rate = 0.064502
[DEBUG] 2016-12-14 20:19:57,559 -- SVD++ fold [2] iter 19: loss = 25.856258, delta_loss = 6.5036373, learn_rate = 0.045840364
[DEBUG] 2016-12-14 20:19:57,561 -- SVD++ fold [1] iter 20: loss = 25.872145, delta_loss = 7.251755, learn_rate = 0.048132382
[DEBUG] 2016-12-14 20:19:57,562 -- SVD++ fold [5] iter 19: loss = 32.44457, delta_loss = 7.340698, learn_rate = 0.045840364
[DEBUG] 2016-12-14 20:19:57,563 -- SVD++ fold [3] iter 20: loss = 20.175255, delta_loss = 5.9879823, learn_rate = 0.048132382
[DEBUG] 2016-12-14 20:19:57,564 -- SVD++ fold [4] iter 27: loss = 5.1520243, delta_loss = 1.0862737, learn_rate = 0.0677271
[DEBUG] 2016-12-14 20:19:57,566 -- SVD++ fold [2] iter 20: loss = 20.759901, delta_loss = 5.0963573, learn_rate = 0.048132382
[DEBUG] 2016-12-14 20:19:57,568 -- SVD++ fold [1] iter 21: loss = 20.225254, delta_loss = 5.6468906, learn_rate = 0.050539
[DEBUG] 2016-12-14 20:19:57,568 -- SVD++ fold [4] iter 28: loss = 4.283272, delta_loss = 0.86875254, learn_rate = 0.07111345
[DEBUG] 2016-12-14 20:19:57,570 -- SVD++ fold [3] iter 21: loss = 15.538386, delta_loss = 4.6368675, learn_rate = 0.050539
[DEBUG] 2016-12-14 20:19:57,572 -- SVD++ fold [4] iter 29: loss = 3.5897315, delta_loss = 0.6935402, learn_rate = 0.07466912
[DEBUG] 2016-12-14 20:19:57,573 -- SVD++ fold [5] iter 20: loss = 26.186129, delta_loss = 6.2584414, learn_rate = 0.048132382
[DEBUG] 2016-12-14 20:19:57,573 -- SVD++ fold [2] iter 21: loss = 16.740376, delta_loss = 4.0195246, learn_rate = 0.050539
[DEBUG] 2016-12-14 20:19:57,575 -- SVD++ fold [1] iter 22: loss = 15.860942, delta_loss = 4.3643126, learn_rate = 0.053065952
[DEBUG] 2016-12-14 20:19:57,580 -- SVD++ fold [4] iter 30: loss = 3.0381792, delta_loss = 0.5515523, learn_rate = 0.07840258
[DEBUG] 2016-12-14 20:19:57,581 -- SVD++ fold [3] iter 22: loss = 11.994184, delta_loss = 3.5442028, learn_rate = 0.053065952
[DEBUG] 2016-12-14 20:19:57,582 -- SVD++ fold [2] iter 22: loss = 13.556231, delta_loss = 3.1841457, learn_rate = 0.053065952
[DEBUG] 2016-12-14 20:19:57,584 -- SVD++ fold [4] iter 31: loss = 2.601618, delta_loss = 0.43656108, learn_rate = 0.08232271
[DEBUG] 2016-12-14 20:19:57,586 -- SVD++ fold [5] iter 21: loss = 20.87417, delta_loss = 5.3119593, learn_rate = 0.050539
[DEBUG] 2016-12-14 20:19:57,586 -- SVD++ fold [2] iter 23: loss = 11.029201, delta_loss = 2.52703, learn_rate = 0.05571925
[DEBUG] 2016-12-14 20:19:57,588 -- SVD++ fold [3] iter 23: loss = 9.312227, delta_loss = 2.6819565, learn_rate = 0.05571925
[DEBUG] 2016-12-14 20:19:57,588 -- SVD++ fold [1] iter 23: loss = 12.509675, delta_loss = 3.3512673, learn_rate = 0.05571925
[DEBUG] 2016-12-14 20:19:57,590 -- SVD++ fold [2] iter 24: loss = 9.027022, delta_loss = 2.0021784, learn_rate = 0.058505215
[DEBUG] 2016-12-14 20:19:57,591 -- SVD++ fold [4] iter 32: loss = 2.2578342, delta_loss = 0.3437839, learn_rate = 0.08643884
[DEBUG] 2016-12-14 20:19:57,593 -- SVD++ fold [5] iter 22: loss = 16.429573, delta_loss = 4.444596, learn_rate = 0.053065952
[DEBUG] 2016-12-14 20:19:57,594 -- SVD++ fold [2] iter 25: loss = 7.446426, delta_loss = 1.5805962, learn_rate = 0.061430473
[DEBUG] 2016-12-14 20:19:57,594 -- SVD++ fold [3] iter 24: loss = 7.3008885, delta_loss = 2.0113385, learn_rate = 0.058505215
[DEBUG] 2016-12-14 20:19:57,595 -- SVD++ fold [1] iter 24: loss = 9.948262, delta_loss = 2.5614126, learn_rate = 0.058505215
[DEBUG] 2016-12-14 20:19:57,598 -- SVD++ fold [4] iter 33: loss = 1.9886193, delta_loss = 0.26921475, learn_rate = 0.09076079
[DEBUG] 2016-12-14 20:19:57,598 -- SVD++ fold [2] iter 26: loss = 6.2008553, delta_loss = 1.2455707, learn_rate = 0.064502
[DEBUG] 2016-12-14 20:19:57,599 -- SVD++ fold [5] iter 23: loss = 12.794131, delta_loss = 3.6354423, learn_rate = 0.05571925
[DEBUG] 2016-12-14 20:19:57,601 -- SVD++ fold [3] iter 25: loss = 5.8024535, delta_loss = 1.4984353, learn_rate = 0.061430473
[DEBUG] 2016-12-14 20:19:57,602 -- SVD++ fold [2] iter 27: loss = 5.2158456, delta_loss = 0.98500973, learn_rate = 0.0677271
[DEBUG] 2016-12-14 20:19:57,602 -- SVD++ fold [1] iter 25: loss = 7.99186, delta_loss = 1.9564022, learn_rate = 0.061430473
[DEBUG] 2016-12-14 20:19:57,604 -- SVD++ fold [4] iter 34: loss = 1.7791286, delta_loss = 0.20949079, learn_rate = 0.09529883
[DEBUG] 2016-12-14 20:19:57,606 -- SVD++ fold [2] iter 28: loss = 4.4298677, delta_loss = 0.785978, learn_rate = 0.07111345
[DEBUG] 2016-12-14 20:19:57,606 -- SVD++ fold [5] iter 24: loss = 9.9000435, delta_loss = 2.8940878, learn_rate = 0.058505215
[DEBUG] 2016-12-14 20:19:57,608 -- SVD++ fold [3] iter 26: loss = 4.689021, delta_loss = 1.1134325, learn_rate = 0.064502
[DEBUG] 2016-12-14 20:19:57,609 -- SVD++ fold [1] iter 26: loss = 6.4905596, delta_loss = 1.5013006, learn_rate = 0.064502
[DEBUG] 2016-12-14 20:19:57,610 -- SVD++ fold [2] iter 29: loss = 3.7956307, delta_loss = 0.63423693, learn_rate = 0.07466912
[DEBUG] 2016-12-14 20:19:57,611 -- SVD++ fold [4] iter 35: loss = 1.617241, delta_loss = 0.16188751, learn_rate = 0.10006377
[DEBUG] 2016-12-14 20:19:57,613 -- SVD++ fold [5] iter 25: loss = 7.6559772, delta_loss = 2.2440662, learn_rate = 0.061430473
[DEBUG] 2016-12-14 20:19:57,614 -- SVD++ fold [2] iter 30: loss = 3.2788134, delta_loss = 0.51681733, learn_rate = 0.07840258
[DEBUG] 2016-12-14 20:19:57,614 -- SVD++ fold [3] iter 27: loss = 3.8600926, delta_loss = 0.82892823, learn_rate = 0.0677271
[DEBUG] 2016-12-14 20:19:57,615 -- SVD++ fold [1] iter 27: loss = 5.3280644, delta_loss = 1.1624949, learn_rate = 0.0677271
[DEBUG] 2016-12-14 20:19:57,618 -- SVD++ fold [2] iter 31: loss = 2.854853, delta_loss = 0.42396036, learn_rate = 0.08232271
[DEBUG] 2016-12-14 20:19:57,618 -- SVD++ fold [4] iter 36: loss = 1.4930177, delta_loss = 0.124223456, learn_rate = 0.105066955
[DEBUG] 2016-12-14 20:19:57,620 -- SVD++ fold [5] iter 26: loss = 5.9523234, delta_loss = 1.7036539, learn_rate = 0.064502
[DEBUG] 2016-12-14 20:19:57,621 -- SVD++ fold [3] iter 28: loss = 3.2392828, delta_loss = 0.6208099, learn_rate = 0.07111345
[DEBUG] 2016-12-14 20:19:57,622 -- SVD++ fold [2] iter 32: loss = 2.5057602, delta_loss = 0.34909278, learn_rate = 0.08643884
[DEBUG] 2016-12-14 20:19:57,622 -- SVD++ fold [1] iter 28: loss = 4.4183393, delta_loss = 0.90972525, learn_rate = 0.07111345
[DEBUG] 2016-12-14 20:19:57,625 -- SVD++ fold [4] iter 37: loss = 1.3983107, delta_loss = 0.094706975, learn_rate = 0.11032031
